Unnamed: 0,T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
1088,18.1,24.0,11.2,1015.4,56.0,1.8,15.9,25.9,288.4166666666667
294,30.3,35.3,28.4,996.9,81.0,1.9,0.9,7.6,45.83333333333334
1001,32.9,38.6,27.0,999.7,64.0,2.4,8.9,16.5,79.83333333333333
275,32.4,38.1,23.5,1000.8,66.0,1.9,3.3,7.6,65.875
302,33.0,37.0,27.0,1004.8,59.0,1.9,6.9,16.5,66.79166666666667
61,31.4,39.2,22.8,1002.9,24.0,1.9,11.5,25.9,94.75
503,30.2,36.5,26.2,1002.3,70.0,1.9,5.7,14.8,23.95833333333333
528,22.4,29.8,16.5,1012.0,65.0,1.1,3.5,13.0,257.4166666666667
433,35.7,42.7,27.6,1003.4,21.0,1.9,14.4,27.8,76.875
348,18.6,27.5,10.6,1014.8,51.0,1.3,2.8,11.1,135.16666666666666
647,30.7,36.9,28.8,996.8,78.0,2.3,5.4,27.8,29.83333333333333
841,30.9,35.0,26.0,997.4,73.0,2.6,6.5,11.1,28.375
786,33.6,40.0,23.0,1003.8,27.0,2.4,9.8,18.3,109.625
837,30.3,35.0,27.6,1002.6,83.0,2.3,6.5,16.5,26.58333333333333
256,31.9,38.8,26.5,1006.0,39.0,2.3,8.7,22.2,65.16666666666667
438,28.7,35.8,24.2,1006.5,58.0,1.9,7.0,18.3,67.45833333333333
984,37.3,42.8,31.2,996.2,49.0,2.6,8.3,14.8,94.375
19,14.7,21.7,8.4,1017.1,71.0,1.8,10.9,22.2,93.375
990,36.0,40.0,26.6,1001.7,46.0,3.1,9.1,22.2,45.375
159,18.9,27.1,14.5,1015.2,80.0,0.6,1.3,7.6,278.0
354,20.1,30.0,11.4,1013.8,47.0,1.8,8.9,22.2,46.70833333333334
690,30.0,36.0,22.5,1004.9,63.0,2.6,3.0,7.6,50.91666666666666
832,31.0,35.2,26.0,997.9,80.0,2.4,7.2,18.3,53.125
777,29.9,37.0,19.5,1008.3,39.0,2.7,4.4,9.4,23.20833333333333
185,13.2,18.2,9.2,1021.0,92.0,0.8,7.6,11.1,255.875
205,12.7,19.5,7.0,1012.0,66.0,1.4,9.3,25.9,100.25
879,26.4,33.0,18.4,1012.4,60.0,2.6,4.6,14.8,272.4166666666667
9,11.9,18.9,6.3,1020.1,76.0,1.1,8.3,20.6,107.625
414,25.1,30.8,19.0,1010.4,70.0,2.1,3.7,11.1,47.25
992,37.6,43.0,28.7,1001.2,42.0,2.4,2.8,11.1,67.08333333333333
455,35.9,41.6,29.0,996.7,54.0,1.9,8.5,18.3,75.33333333333333
1073,22.0,31.0,10.7,1013.2,56.0,1.8,2.4,14.8,250.875
1019,28.3,35.8,26.8,1003.9,89.0,1.6,4.3,11.1,57.58333333333334
653,34.1,37.0,28.5,998.5,63.0,3.2,13.0,22.2,70.58333333333333
778,30.4,37.5,21.6,1006.3,41.0,2.6,12.0,27.8,15.166666666666664
1004,34.4,39.4,26.0,998.3,63.0,2.3,8.0,14.8,43.66666666666666
21,17.4,25.4,10.3,1015.8,63.0,1.9,6.7,14.8,132.20833333333334
577,20.9,27.8,15.8,1014.4,62.0,2.6,17.2,27.8,122.5
918,18.2,25.1,12.0,1014.4,77.0,0.6,5.0,11.1,285.225
